Date,Open,High,Low,Close,Volume,Adj Close
2016-05-20,18.82,19.46,18.71,19.34,13265400,19.34
2016-05-19,19.12,19.52,18.90,18.98,12581300,18.98
2016-05-18,19.50,20.10,18.83,19.23,22042500,19.23
2016-05-17,19.73,20.23,19.65,19.77,20469800,19.77
2016-05-16,19.43,19.64,19.20,19.62,10963200,19.62
2016-05-13,19.70,19.94,19.27,19.40,15655100,19.40
2016-05-12,18.81,19.95,18.71,19.88,19814300,19.88
2016-05-11,19.50,19.85,19.12,19.28,23742200,19.28
2016-05-10,18.86,19.17,18.23,19.07,20858200,19.07
2016-05-09,18.62,18.85,17.89,18.67,22525400,18.67
2016-05-06,20.49,20.49,18.69,18.70,40962500,18.70
2016-05-05,20.15,20.57,20.01,20.49,15216600,20.49
2016-05-04,20.80,21.10,20.20,20.42,22555400,20.42
2016-05-03,20.60,20.99,19.90,20.99,35319300,20.99
2016-05-02,20.61,20.61,20.61,20.61,000,20.61
2016-04-29,20.20,20.77,19.85,20.61,17845800,20.61
2016-04-28,21.49,21.50,19.60,20.40,41130000,20.40
2016-04-27,21.25,22.08,21.12,21.44,31398800,21.44
2016-04-26,20.90,21.27,20.41,21.13,19271100,21.13
2016-04-25,21.61,21.61,20.57,20.92,19571900,20.92
2016-04-22,21.44,21.92,21.01,21.71,27411200,21.71
2016-04-21,20.06,21.97,19.81,21.42,45631800,21.42
2016-04-20,20.68,21.30,19.42,19.97,34444400,19.97
2016-04-19,20.91,21.23,20.35,20.55,16482800,20.55
2016-04-18,20.55,21.20,19.99,20.91,24520700,20.91
2016-04-15,20.38,20.73,20.30,20.71,16271200,20.71
2016-04-14,20.60,20.83,19.92,20.40,26698500,20.40
2016-04-13,20.62,21.17,20.49,20.50,25012500,20.50
2016-04-12,21.50,21.50,20.10,20.49,29331800,20.49
2016-04-11,21.94,22.30,21.54,21.57,24064600,21.57
2016-04-08,21.18,21.85,20.90,21.60,26623000,21.60
2016-04-07,22.50,22.66,21.45,21.50,41920100,21.50
2016-04-06,21.44,22.00,21.21,21.78,29508600,21.78
2016-04-05,20.41,21.88,20.32,21.56,30796000,21.56
2016-04-04,20.38,20.38,20.38,20.38,000,20.38
2016-04-01,20.82,20.98,20.21,20.38,22907300,20.38
2016-03-31,20.83,21.29,20.20,21.20,35722500,21.20
2016-03-30,19.85,20.50,19.40,20.50,28942900,20.50
2016-03-29,20.05,20.34,19.28,19.53,25967300,19.53
2016-03-28,21.12,22.10,20.30,20.30,47376800,20.30
2016-03-25,20.10,21.20,19.90,21.17,39478300,21.17
2016-03-24,19.88,20.80,19.58,20.16,37480100,20.16
2016-03-23,20.83,21.22,19.68,20.30,43070800,20.30
2016-03-22,19.90,21.20,19.76,20.72,43123600,20.72
2016-03-21,20.34,20.38,19.70,20.20,40950700,20.20
2016-03-18,19.21,20.44,19.02,20.38,53734100,20.38
2016-03-17,17.85,19.43,17.68,19.11,41871400,19.11
2016-03-16,18.56,18.75,17.32,17.68,28588200,17.68
2016-03-15,18.79,18.95,17.88,17.96,35270400,17.96
2016-03-14,18.21,19.08,17.95,18.32,43228200,18.32
2016-03-11,17.40,18.22,17.10,17.92,28089600,17.92
2016-03-10,18.46,18.57,17.53,17.53,26663400,17.53
2016-03-09,17.82,18.60,17.51,18.29,31860800,18.29
2016-03-08,19.29,19.78,17.73,18.29,56631300,18.29
2016-03-07,19.90,20.30,18.86,19.41,45684700,19.41
2016-03-04,20.52,20.88,19.52,19.75,34743800,19.75
2016-03-03,20.35,21.36,20.35,20.68,39336900,20.68
2016-03-02,20.00,21.30,19.87,20.80,42022700,20.80
2016-03-01,19.00,20.58,18.51,20.20,50983100,20.20
2016-02-29,19.05,19.96,17.98,19.00,49191000,19.00
2016-02-26,18.00,19.30,17.90,19.28,52670800,19.28
2016-02-25,17.60,18.35,17.13,17.58,48553300,17.58
2016-02-24,17.50,18.26,17.00,17.38,27906900,17.38
2016-02-23,17.78,18.48,17.46,17.77,20506900,17.77
2016-02-22,18.08,18.18,17.46,17.77,22704400,17.77
2016-02-19,17.80,18.30,17.27,17.83,36728400,17.83
2016-02-18,17.21,17.70,16.75,17.47,24892400,17.47
2016-02-17,16.49,17.66,16.30,17.21,26867500,17.21
2016-02-16,16.38,17.00,16.13,16.58,26754000,16.58
2016-02-15,14.55,16.50,14.55,16.40,29019300,16.40
2016-02-12,15.10,15.10,15.10,15.10,000,15.10
2016-02-11,15.10,15.10,15.10,15.10,000,15.10
2016-02-10,15.10,15.10,15.10,15.10,000,15.10
2016-02-09,15.10,15.10,15.10,15.10,000,15.10
2016-02-08,15.10,15.10,15.10,15.10,000,15.10
2016-02-05,15.16,15.68,14.83,15.10,24465100,15.10
2016-02-04,14.02,15.15,13.95,15.07,27164600,15.07
2016-02-03,14.23,14.29,13.46,13.94,18474500,13.94
2016-02-02,14.15,14.66,14.09,14.52,20748500,14.52
2016-02-01,13.91,14.69,13.75,14.15,17315100,14.15
2016-01-29,13.50,14.35,13.40,14.01,17889600,14.01
2016-01-28,14.89,15.10,13.73,13.73,22669600,13.73
2016-01-27,14.50,15.61,13.82,15.25,30081300,15.25
2016-01-26,15.93,16.30,14.73,14.73,28309300,14.73
2016-01-25,16.00,16.97,16.00,16.37,37314200,16.37
